algorithm,metric,mean,median,std,min,max,q25,q75,n
KMeans,ARI,0.512623313434181,0.4255874673629243,0.3829494737474593,0.05714285714285714,1.0,0.18374558303886926,1.0,25
KMeans,NMI,0.6591107534194652,0.5616989079576419,0.26572225765498747,0.3454765824273555,1.0,0.41388034388421646,1.0,25
KMeans,Silhouette,0.19104781453099348,0.19104781453099348,0.0,0.19104781453099348,0.19104781453099348,0.19104781453099348,0.19104781453099348,1
KMeans,Davies-Bouldin,1.0941398413731378,1.0941398413731378,0.0,1.0941398413731378,1.0941398413731378,1.0941398413731378,1.0941398413731378,1
KMeans,Calinski-Harabasz,5.3889682136663835,5.3889682136663835,0.0,5.3889682136663835,5.3889682136663835,5.3889682136663835,5.3889682136663835,1
Hierarchical,ARI,0.5092022181781581,0.4255874673629243,0.3742188822372681,0.05714285714285714,1.0,0.17687074829931973,1.0,25
Hierarchical,NMI,0.6687629449171151,0.6174195235448212,0.25455966882715175,0.3454765824273555,1.0,0.41388034388421646,1.0,25
Hierarchical,Silhouette,0.19104781453099348,0.19104781453099348,0.0,0.19104781453099348,0.19104781453099348,0.19104781453099348,0.19104781453099348,1
Hierarchical,Davies-Bouldin,1.0941398413731378,1.0941398413731378,0.0,1.0941398413731378,1.0941398413731378,1.0941398413731378,1.0941398413731378,1
Hierarchical,Calinski-Harabasz,5.3889682136663835,5.3889682136663835,0.0,5.3889682136663835,5.3889682136663835,5.3889682136663835,5.3889682136663835,1
DBSCAN,ARI,0.73280776705724,0.8096885813148789,0.2640962760070998,0.0,1.0,0.6428571428571429,0.8178807947019867,25
DBSCAN,NMI,0.8343127767424516,0.9010999287210832,0.25833341566301454,0.0,1.0,0.8514402748659146,0.9036872008429452,25
DBSCAN,Silhouette,0.31838608406358326,0.31838608406358326,0.0,0.31838608406358326,0.31838608406358326,0.31838608406358326,0.31838608406358326,1
DBSCAN,Davies-Bouldin,0.9300663639559813,0.9300663639559813,0.0,0.9300663639559813,0.9300663639559813,0.9300663639559813,0.9300663639559813,1
DBSCAN,Calinski-Harabasz,5.210682721514583,5.210682721514583,0.0,5.210682721514583,5.210682721514583,5.210682721514583,5.210682721514583,1
Custom (Mean Shift),ARI,0.6435831125587629,0.6271186440677966,0.25326707309349267,0.18085106382978725,1.0,0.5113524185587365,0.7776879547291835,25
Custom (Mean Shift),NMI,0.8171495007324122,0.8423028755277343,0.14653171545474303,0.41358336374055965,1.0,0.7097910800416253,0.9012081568002858,25
Custom (Mean Shift),Silhouette,0.2230596351688333,0.2230596351688333,0.0,0.2230596351688333,0.2230596351688333,0.2230596351688333,0.2230596351688333,1
Custom (Mean Shift),Davies-Bouldin,0.7144267073458209,0.7144267073458209,0.0,0.7144267073458209,0.7144267073458209,0.7144267073458209,0.7144267073458209,1
Custom (Mean Shift),Calinski-Harabasz,6.201287384159331,6.201287384159331,0.0,6.201287384159331,6.201287384159331,6.201287384159331,6.201287384159331,1
